CEL_FILE_NAME	SAMPLE_NAME	ORDER	BATCH_ID	POPULATION	LINEAGE	SOURCE_OF_CELL	REPLICATE_NUMBER	POPULATION_NUMBER	SORT_LOCATION	CONCENTRATION_OF_STARTING_RNA(NG/UL)	CELL_COUNT_FROM_SORT	P_CALL%
5202764006152214120704.H06.CEL	HSC1_1	1	HTA1	HSC1	HSC	CB	1	1.1	MGH	1.36	32000	41.2
5202764005789149112904.B10.CEL	HSC1_13	2	HTA2	HSC1	HSC	CB	13	1.1	MGH	13.89	150000	49.2
5202764005789149112904.D09.CEL	HSC1_2	3	HTA2	HSC1	HSC	CB	2	1.1	MGH	1.23	24000	47.8
5202764005789149112904.B09.CEL	HSC1_6	4	HTA2	HSC1	HSC	CB	6	1.1	MGH	3.38	17000	49.6
5202764005789149112904.D04.CEL	HSC1_7	5	HTA2	HSC1	HSC	CB	7	1.1	MGH	2.28	3800	45.2
5202764005789149112904.B08.CEL	HSC1_8	6	HTA2	HSC1	HSC	CB	8	1.1	MGH	3.34	19000	48.7
5202764005789146112904.F09.CEL	HSC1_14	7	HTA3	HSC1	HSC	CB	14	1.1	MGH	11.93	80000	52
5202764005789146112904.F06.CEL	HSC1_3	8	HTA3	HSC1	HSC	CB	3	1.1	MGH	2.61	7400	48.9
5202764005789146112904.H07.CEL	HSC1_9	9	HTA3	HSC1	HSC	CB	9	1.1	MGH	6.72	60000	48.8
5202764005790179113004.C02.CEL	HSC1_4	10	HTA4	HSC1	HSC	CB	4	1.1	MGH	1.35	2000	37.2
5202764005789149112904.F06.CEL	HSC3_10	11	HTA2	HSC3	HSC	CB	10	1.3	MGH	5.68	67000	48.3
5202764005789149112904.C08.CEL	HSC3_12	12	HTA2	HSC3	HSC	CB	12	1.3	MGH	5.16	43000	49.9
5202764005789146112904.C07.CEL	HSC3_13	13	HTA3	HSC3	HSC	CB	13	1.3	MGH	9.65	150000	50.5
5202764005789146112904.B04.CEL	HSC3_14	14	HTA3	HSC3	HSC	CB	14	1.3	MGH	5.5	25000	47.2
5202764006152214120704.E04.CEL	CMP_4	15	HTA1	CMP	MYP	CB	4	2	na	2.34	1300	41.8
5202764006152214120704.H07.CEL	CMP_5	16	HTA1	CMP	MYP	CB	5	2	na	2.43	834	33.9
5202764005790179113004.A10.CEL	CMP_6	17	HTA4	CMP	MYP	CB	6	2	MGH	1.6	1828	30.9
5202764005790179113004.C07.CEL	CMP_7	18	HTA4	CMP	MYP	CB	7	2	MGH	1.58	1153	23.1
5202764005789149112904.D05.CEL	GMP_4	19	HTA2	GMP	MYP	CB	4	3	na	1.83	206	38.8
5202764005789146112904.E03.CEL	GMP_5	20	HTA3	GMP	MYP	CB	5	3	na	2.4	1464	42.9
5202764005790179113004.E03.CEL	GMP_7	21	HTA4	GMP	MYP	CB	7	3	MGH	7.47	7500	41.4
5202764005790179113004.G07.CEL	GMP_9	22	HTA4	GMP	MYP	CB	9	3	MGH	0.88	417	34.8
5202764006152214120704.C05.CEL	MEP_4	23	HTA1	MEP	MYP	CB	4	4	MGH	5.04	12000	46.3
5202764006152214120704.A02.CEL	MEP_5	24	HTA1	MEP	MYP	CB	5	4	MGH	4.48	20000	37.4
5202764005789149112904.D10.CEL	MEP_1	25	HTA2	MEP	MYP	CB	1	4	MGH	2.54	3300	44.8
